cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.01686798,1.0797698,1.0799223,31.82541973754445,29.983988,34.703838,13.34142166666667
3.0,0.016831938,1.0811372,1.0813154,31.875471250889717,30.001017,34.788918,13.341461666666662
4.0,0.01671898,1.0819083,1.082234,31.937384918943547,30.300148,35.098438,13.425761666666675
5.0,0.016715366,1.0825093,1.0827312,31.96477769954336,30.033159,34.978291,13.341223333333316
6.0,0.016664039,1.0827514,1.0830303,31.969830121402826,30.283377,35.00581,13.341343333333317
7.0,0.016674763,1.0831335,1.0833386,31.91319428493648,29.985632,34.839478,13.425721666666623
8.0,0.016659655,1.0834411,1.083684,31.879958490178563,29.98287,34.696198,13.42558333333333
9.0,0.016700698,1.0835205,1.0837147,31.88018607636364,30.087589,34.832886,13.341390000000017
10.0,0.01668706,1.0835621,1.0837817,31.85420551517864,30.178619,34.746063,13.341335000000011
11.0,0.016707838,1.0837057,1.0839587,31.77569367577092,29.904594,34.843388,13.34142499999992
12.0,0.01667982775,1.0978745,1.0880535,31.796817870285192,29.829704,35.059292,13.425585000000016
13.0,0.016659031,1.0818303,1.0858102,31.74596863287668,29.971907,34.901703,13.341676666666656
14.0,0.016665382,1.0834396,1.0857648,31.699263770073024,29.782892,34.793388,13.425781666666689
15.0,0.016766557,1.0844297,1.0855526,31.36137650900904,29.533159,34.174305,13.425508333333225
16.0,0.016692786,1.0847561,1.0855418,31.369761572470388,29.520693,34.141102,13.341265000000082
17.0,0.016686745,1.0849588,1.085543,31.32124565864525,29.358561,34.208309,13.42561333333336
18.0,0.016717322,1.0851207,1.0856423,31.393496388839697,29.41783,34.253521,13.425989999999972
19.0,0.016735747,1.0851202,1.0855848,31.411013303220056,29.273434,34.734135,13.341556666666536
20.0,0.016728617,1.0851884,1.0855571,31.49621477807726,29.269444,34.655045,13.34140833333319
21.0,0.016692486,1.0852153,1.0855353,31.41562567324951,29.38632,34.431824,13.426306666666642
22.0,0.016717544,1.0852674,1.0855669,31.492255654794533,29.442839,34.456581,13.426121666666583
23.0,0.016753472,1.0852717,1.0855838,31.49931392960287,29.588261,34.622383,13.341293333333306
24.0,0.016777955,1.0854056,1.0857264,31.555681129917595,29.647118,34.768559,13.425918333333296
25.0,0.01674987,1.0855659,1.0858061,31.528329525939203,29.668095,34.769131,13.425813333333402
26.0,0.01678589,1.0855664,1.0858525,31.500279916591914,29.678463,34.57098,13.34133166666652
27.0,0.016786054,1.0855936,1.0858128,31.47489418352728,29.668159,34.454464,13.425623333333352
28.0,0.016764257,1.0855211,1.0857804,31.415500745240244,29.848421,34.311237,13.425568333333164
29.0,0.016772408,1.0855083,1.0857626,31.31863564172537,29.395443,34.258968,13.42551999999996
30.0,0.01674689,1.0855443,1.0857949,31.268348831618315,29.52951,34.239876,13.34153166666656
31.0,0.016730327,1.0856376,1.0858704,31.343885543439708,29.454712,34.30484,13.341158333333444
32.0,0.016742824,1.0855651,1.0857939,31.268309674127156,29.418226,34.165649,13.34141499999993
33.0,0.016755169,1.08557,1.0858334,31.32342812397449,29.504503,34.301197,13.425856666667096
34.0,0.016751269,1.0855423,1.0858121,31.353083531953143,29.531914,34.306889,13.426093333333364
35.0,0.016767899,1.0855213,1.085746,31.38197885018046,29.423582,34.633583,13.341636666666696
36.0,0.016748235,1.0855355,1.0857704,31.34436214545453,29.446127,34.479439,13.3415300000003
