cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime,Q,SOH
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.016369704,1.0793147,1.0797229,30.24559243709836,29.596653,30.935932,12.008575000000018,2.1590376,100.0
3.0,0.016315572,1.0806946,1.0812283,30.313372000000022,29.836266,31.18433,12.008094999999988,2.1619229,100.13363824696708
4.0,0.016325498,1.0815663,1.0819938,30.27831325118029,29.724728,30.779972,12.008374999999978,2.1635600999999998,100.20946832977803
5.0,0.016325014,1.0822483,1.0827308,30.39341168333336,29.996559,31.101156,12.008216666666703,2.1649791,100.27519205779465
6.0,0.016291786,1.0826956,1.083112,30.33170060255235,29.657597,30.721308,12.092436666666678,2.1658076,100.31356563683744
7.0,0.016265681,1.0830204,1.08355,30.364498095802983,29.702785,31.045734,12.092499999999989,2.1665704000000003,100.34889619337804
8.0,0.01626664,1.0833867,1.0837905,30.358758771162872,29.685999,30.979694,12.092648333333331,2.1671772000000002,100.37700130836073
9.0,0.016235113,1.0836259,1.0840378,30.334044438356127,29.772276,31.086926,12.092768333333334,2.1676637,100.39953449629593
10.0,0.016207602,1.0838398,1.0843078,30.29462966422013,29.662891,31.224295,12.092449999999978,2.1681476,100.42194726020522
11.0,0.016218726,1.0839198,1.0843241,30.19462110265803,29.662922,30.83703,12.092376666666556,2.1682439000000002,100.42640758085919
12.0,0.0162401215,1.084152,1.084146,30.028080301259063,29.640888,30.664867,12.008086666666712,2.168298,100.42891332693789
13.0,0.016286887,1.079504,1.0801494,30.17117478853378,29.690474,30.913134,12.092543333333255,2.1596534,100.02852196738029
14.0,0.016247271,1.0823337,1.0828358,30.0922575362718,29.565948,30.89027,12.008118333333307,2.1651695,100.28401080184987
15.0,0.016230898,1.0829734,1.0833995,30.004971123300106,29.297924,30.655083,12.092446666666609,2.1663729,100.33974859909804
16.0,0.016365485,1.0834512,1.0839369,29.853255485267034,29.316433,30.671743,12.092854999999933,2.1673881,100.38676954954376
17.0,0.016360775,1.0838183,1.0842366,29.84388972559851,29.332771,30.525606,12.09261666666668,2.1680549,100.41765368051023
18.0,0.016359352,1.0840797,1.0844988,29.84457024632351,29.359411,30.538759,12.092713333333329,2.1685784999999997,100.4419052266621
19.0,0.016349224,1.0842619,1.0845997,29.79683736261681,29.424572,30.411865,12.09236833333319,2.1688616,100.45501755041228
20.0,0.01633808,1.0845194,1.0849102,29.76409284756664,29.396191,30.336483,12.092336666666476,2.1694296,100.48132556839214
21.0,0.016328907,1.0845698,1.0849816,29.82337024791858,29.386528,30.38109,12.092588333333213,2.1695514,100.48696697083923
