cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.016787428,1.078509,1.0784167,31.659106455331383,29.640825,34.610603,12.008310000000014
3.0,0.016740341,1.0789363,1.0790124,31.682169403151168,29.737724,34.632095,12.092648333333331
4.0,0.016738746,1.0796522,1.0797466,31.665242387477296,29.74818,34.424313,12.092380000000018
5.0,0.016720008,1.0802691,1.0804269,31.72598556553616,29.840086,34.543621,12.007856666666642
6.0,0.016683817,1.0806787,1.0807526,31.65874018156685,29.685734,34.465569,12.008058333333368
7.0,0.016659617,1.081084,1.0811697,31.67556792206573,29.785479,34.4851,12.00806833333336
8.0,0.016653595,1.0813879,1.0815623,31.70697666233762,29.734694,34.543011,12.092554999999994
9.0,0.016637947,1.0816168,1.0817327,31.7011438156934,29.831789,34.558636,12.092461666666653
10.0,0.016616168,1.0817835,1.0819536,31.66909302575897,29.719275,34.642597,12.092295000000012
11.0,0.016638547,1.0819266,1.0819838,31.6566337949908,29.754782,34.519489,12.007888333333296
12.0,0.016650592000000002,1.0820839,1.0816935,31.09803893321298,29.597702,32.985813,12.007793333333272
13.0,0.016690802,1.0775421,1.0780181,31.482436138706618,29.755266,34.392864,12.092473333333327
14.0,0.016656851,1.0804358,1.0806552,31.506526520754715,29.595516,34.458183,12.008140000000031
15.0,0.016627353,1.0812811,1.0814338,31.483529791168326,29.382664,34.343189,12.008056666666622
16.0,0.016710907,1.0816888,1.0818815,31.33903300272236,29.493584,34.362049,12.008286666666876
17.0,0.016699778,1.0820018,1.0821286,31.385419266486014,29.548168,34.305405,12.008098333333328
18.0,0.016707348,1.0822161,1.0823987,31.35564579123949,29.391556,34.361599,12.09246000000009
19.0,0.016691811,1.0824314,1.0825365,31.32132472222224,29.456888,34.249355,12.092455000000092
20.0,0.016681554,1.0825535,1.082725,31.285135676172956,29.512949,34.157902,12.092458333333344
21.0,0.016691096,1.0827117,1.0828415,31.343432174152124,29.47686,34.208958,12.008283333333384
22.0,0.016671179,1.0828112,1.0828853,31.332034006499654,29.602896,34.209164,12.008189999999985
23.0,0.016660178,1.0829024,1.0830723,31.33224404178025,29.544054,34.116722,12.092661666666633
24.0,0.016642798,1.0829718,1.0831127,31.29464017542218,29.52528,34.173393,12.007921666666515
25.0,0.01665174,1.0831265,1.0832496,31.38351614391138,29.508512,34.15546,12.008148333333278
26.0,0.016633712,1.08316,1.0832996,31.392844006523845,29.532242,34.193451,12.007910000000022
27.0,0.016631547,1.0831717,1.0833453,31.41224949908081,29.500015,34.173615,12.092448333333351
28.0,0.016625524,1.0831598,1.0832411,31.402618130797805,29.431755,34.234783,12.007983333333202
29.0,0.016642904,1.0831218,1.083263,31.39037857011072,29.388172,34.255566,12.008113333333556
30.0,0.01665369,1.0831378,1.0832844,31.280992482600745,29.331198,34.115746,12.007898333333287
31.0,0.016641077,1.0831691,1.083288,31.29180502682699,29.335983,34.209435,12.092206666666849
32.0,0.016640313,1.0831701,1.0833356,31.345143903345758,29.44058,34.246689,12.092238333333322
33.0,0.016654115,1.0831417,1.0833119,31.290414799426895,29.208958,34.251614,12.007793333333392
34.0,0.016635826,1.0831596,1.0833225,31.26008850189029,29.29236,34.217815,12.007773333333413
35.0,0.016652757,1.0831957,1.0833349,31.346624487918238,29.334526,34.276882,12.09219499999987
