,IR,QC,QD,Tavg,Tmin,Tmax,chargetime,cycle
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.016369704,1.0793147,1.0797229,30.245592437098356,29.596653,30.935932,12.008575000000018,2.0
2,0.016315572,1.0806946,1.0812283,30.313372000000026,29.836266,31.18433,12.008094999999988,3.0
3,0.016325498,1.0815663,1.0819938,30.27831325118029,29.724728,30.779972,12.008374999999978,4.0
4,0.016325014,1.0822483,1.0827308,30.39341168333336,29.996559,31.101156,12.008216666666703,5.0
5,0.016291786,1.0826956,1.083112,30.33170060255235,29.657597,30.721308,12.092436666666678,6.0
6,0.016265681,1.0830204,1.08355,30.364498095802983,29.702785,31.045734,12.092499999999989,7.0
7,0.01626664,1.0833867,1.0837905,30.358758771162872,29.685999,30.979694,12.092648333333333,8.0
8,0.016235113,1.0836259,1.0840378,30.334044438356127,29.772276,31.086926,12.092768333333334,9.0
9,0.016207602,1.0838398,1.0843078,30.294629664220135,29.662891,31.224295,12.092449999999978,10.0
10,0.016218726,1.0839198,1.0843241,30.19462110265803,29.662922,30.83703,12.092376666666556,11.0
11,0.0,1.084152,1.084146,30.028080301259063,29.640888,30.664867,12.008086666666713,12.0
12,0.016286887,1.079504,1.0801494,30.17117478853378,29.690474,30.913134,12.092543333333257,13.0
13,0.016247271,1.0823337,1.0828358,30.0922575362718,29.565948,30.89027,12.008118333333307,14.0
14,0.016230898,1.0829734,1.0833995,30.004971123300102,29.297924,30.655083,12.092446666666607,15.0
15,0.016365485,1.0834512,1.0839369,29.853255485267034,29.316433,30.671743,12.092854999999933,16.0
16,0.016360775,1.0838183,1.0842366,29.84388972559851,29.332771,30.525606,12.092616666666679,17.0
17,0.016359352,1.0840797,1.0844988,29.84457024632351,29.359411,30.538759,12.092713333333329,18.0
18,0.016349224,1.0842619,1.0845997,29.796837362616806,29.424572,30.411865,12.09236833333319,19.0
19,0.01633808,1.0845194,1.0849102,29.764092847566637,29.396191,30.336483,12.092336666666476,20.0
20,0.016328907,1.0845698,1.0849816,29.82337024791858,29.386528,30.38109,12.092588333333213,21.0
21,0.016282074,1.0846334,1.0850784,29.866125629427746,29.444065,30.406626,12.092614999999933,22.0
22,0.016288836,1.084831,1.0852121,29.833181360909087,29.473217,30.382923,12.008125000000048,23.0
23,0.016271129,1.0849,1.0853114,29.845713231123366,29.504063,30.39113,12.008350000000064,24.0
24,0.016273182,1.0850928,1.0854828,29.901195155141874,29.38117,30.421011,12.092685000000104,25.0
25,0.016250733,1.0852003,1.0855538,29.909315751147854,29.409222,30.383427,12.092243333333318,26.0
26,0.016263327,1.0851779,1.0855597,29.937856805887836,29.34437,30.455006,12.0923500000002,27.0
27,0.016271114,1.0850989,1.0854679,29.938789219178013,29.297314,30.552313,12.092286666666526,28.0
28,0.016273748,1.0850434,1.0854152,29.869821218945457,29.233625,30.578209,12.092508333333292,29.0
29,0.016299676,1.0850613,1.0854537,29.78002756727271,29.17243,30.389032,12.092485000000064,30.0
30,0.016291054,1.0850451,1.0854599,29.839212776951694,29.212397,30.651123,12.007925000000007,31.0
31,0.016262814,1.0850329,1.0854311,29.841460960966533,29.281399,30.716326,12.007926666666512,32.0
32,0.016286319,1.0850081,1.0853695,29.77098785541048,29.099152,30.590649,12.008474999999939,33.0
33,0.016273437,1.0850438,1.085397,29.798508348641132,29.21258,30.676329,12.092478333333565,34.0
34,0.016303716,1.0851139,1.0854614,29.812064736448615,29.235453,30.568756,12.00797999999971,35.0
35,0.016302802,1.0850325,1.0853621,29.769599094883723,29.150154,30.417372,12.007806666666875,36.0
36,0.016295822,1.0850281,1.0854149,29.77380036630034,29.18721,30.475798,12.092339999999968,37.0
37,0.016312148,1.0850362,1.0854114,29.76587778196871,29.182661,30.533024,12.007673333333514,38.0
38,0.016318515,1.0849992,1.0853826,29.835420306703455,29.351311,30.598173,12.007976666666703,39.0
39,0.016324254,1.0850911,1.0854635,29.842912514129477,29.299414,30.432913,12.008326666666836,40.0
40,0.016328668,1.085142,1.0854844,29.77472888971963,29.373257,30.476433,12.092128333333433,41.0
41,0.016339812,1.0851185,1.0855337,29.753553673617425,29.304504,30.585636,12.092286666666526,42.0
42,0.016299171,1.0851862,1.0855618,29.8348926781717,29.337318,30.508619,12.09262166666643,43.0
43,0.016298834,1.0851719,1.085567,29.84754823539978,29.385387,30.505465,12.008030000000144,44.0
44,0.016306205,1.0851471,1.0855333,29.83555280527754,29.392189,30.370197,12.008120000000053,45.0
45,0.016313858,1.0851836,1.0855768,29.85775653370783,29.456038,30.432467,12.008068333333359,46.0
46,0.016340159,1.0852289,1.0856103,29.807211684944296,29.280798,30.358683,12.008319999999852,47.0
47,0.016322983,1.0852689,1.0856651,29.84680607677909,29.381668,30.403395,12.092628333333414,48.0
48,0.016284429,1.0853164,1.0857081,29.848663101741543,29.469788,30.414076,12.007990000000184,49.0
49,0.016290145,1.0853367,1.085786,29.895872739639714,29.338924,30.646885,12.092435000000114,50.0
50,0.016255185,1.0852907,1.0856825,29.918359375232768,29.406975,30.641092,12.092276666667022,51.0
51,0.016294528,1.0854114,1.0858119,29.968834516635887,29.29073,30.659893,12.007778333333166,52.0
52,0.016240023,1.0852926,1.0857023,29.951220026654454,29.300797,30.68099,12.092448333333596,53.0
53,0.016275285,1.0853144,1.0857193,29.960993502772613,29.278578,30.696745,12.09239499999967,54.0
54,0.016288023,1.0852851,1.0856463,29.9763218306307,29.190264,30.637745,12.007788333333156,55.0
55,0.016287575,1.0851567,1.0855734,29.984665359168236,29.245312,30.916716,12.008014999999917,56.0
56,0.016318781,1.0850531,1.0854634,29.86138384890108,29.073391,30.753,12.00830333333288,57.0
57,0.016314473,1.0850188,1.0854337,29.82921249007219,29.133972,30.710106,12.008358333333065,58.0
58,0.01633805,1.0850219,1.0854168,29.80085767381169,29.064333,30.716061,12.007988333333438,59.0
59,0.016296595,1.0849783,1.0853405,29.826862035944703,29.081619,30.765608,12.00812333333306,60.0
60,0.01633307,1.0849178,1.0853049,29.774654224644525,29.124317,30.869263,12.00804166666688,61.0
61,0.016342327,1.0849088,1.085326,29.75480789392573,29.118202,30.591673,12.092558333333484,62.0
62,0.016315103,1.0848771,1.0852576,29.8132856611418,29.138367,30.507141,12.092538333333504,63.0
63,0.016345322,1.08495,1.0853672,29.906917932842735,29.395191,30.890961,12.008251666666668,64.0
64,0.01625422,1.0853488,1.085776,30.356484004664228,29.873074,31.271889,12.09248666666681,65.0
65,0.016186103,1.0855957,1.0859883,30.737213863263438,30.310377,31.545311,12.007819999999871,66.0
66,0.016129585,1.0858089,1.0861838,30.92172582060721,30.475714,31.691414,12.092280000000027,67.0
67,0.016098134,1.0858829,1.086253,30.9168252755475,30.421545,31.586853,12.008003333333182,68.0
68,0.016099358,1.0857819,1.086098,30.5388461625795,29.878963,31.258373,12.008001666666436,69.0
69,0.016348323,1.0849675,1.0853186,29.81665123703038,29.19499,30.498661,12.008086666666593,70.0
70,0.01636157,1.0850127,1.0854003,29.870876681558933,29.429127,30.53949,12.092579999999725,71.0
71,0.016373852,1.0850182,1.0853723,29.81988034802573,29.483212,30.477909,12.09236833333319,72.0
72,0.016384909,1.0850202,1.0854259,29.857713439295626,29.464594,30.423698,12.09239499999967,73.0
73,0.016361933,1.0849689,1.0853949,29.83786531238271,29.430166,30.390711,12.09219000000012,74.0
74,0.016340569,1.0850129,1.0854065,29.84999455681815,29.452459,30.50069,12.007974999999472,75.0
75,0.016359251,1.0850409,1.0854642,29.869148278435024,29.441828,30.46944,12.00829500000012,76.0
76,0.016314853,1.0850098,1.0854348,29.905121448467973,29.464167,30.52474,12.092553333332763,77.0
77,0.016305966,1.0850255,1.0854254,29.88929455765761,29.338013,30.56481,12.092381666666673,78.0
78,0.016312905,1.0849544,1.0853767,29.871923304429796,29.361807,30.559055,12.092405000000145,79.0
79,0.016326869,1.0848718,1.0853026,29.883880302752303,29.30599,30.506907,12.092553333332763,80.0
80,0.016336404,1.084836,1.0852393,29.87165704570389,29.263683,30.484638,12.092433333333853,81.0
81,0.016296355,1.0847803,1.085196,29.87326349451552,29.291031,30.638748,12.09238333333342,82.0
82,0.016325675,1.0847178,1.0851202,29.836142178966806,29.216827,30.567865,12.092443333333359,83.0
83,0.016348442,1.0847207,1.0850787,29.843458914364664,29.056814,30.503643,12.008305000000595,84.0
84,0.016348636,1.0846251,1.0850545,29.849684577838808,29.110254,30.78882,12.008053333333615,85.0
85,0.016344726,1.0845873,1.0850168,29.829600807799476,29.126808,30.693457,12.09274166666631,86.0
86,0.01634605,1.0845561,1.084957,29.8073751474821,29.154776,30.823883,12.008124999999806,87.0
87,0.01636113,1.0844963,1.0848925,29.76433187887068,29.023619,30.546095,12.092685000000833,88.0
88,0.016372642,1.084452,1.0848627,29.791405870335847,29.103579,30.731298,12.092378333333182,89.0
89,0.01637488,1.0844104,1.0848633,29.794986606782818,29.165998,30.651018,12.008335000000079,90.0
